736263,20151027,     9, -1, 106,     1,  1,  94
736263,20151027,     5,  1,  97,     6, -1,  95
736263,20151027,    10,  1, 111,    19, -1,  95
736264,20151028,    30, -1,  88,    22,  1,  87
736264,20151028,     2,  1, 112,    23, -1,  95
736264,20151028,     9,  1,  92,    29, -1,  87
736264,20151028,    16,  1, 104,     4, -1,  94
736264,20151028,     5, -1, 115,     3,  1, 100
736264,20151028,    28,  1, 106,    12, -1,  99
736264,20151028,     8, -1, 105,    11,  1,  85
736264,20151028,    20, -1, 122,    17,  1,  97
736264,20151028,    21,  1, 112,    27, -1, 106
736264,20151028,     6, -1, 106,    15,  1,  76
736264,20151028,     7, -1, 111,    24,  1,  95
736264,20151028,    25,  1, 112,    19, -1,  94
736264,20151028,    13, -1, 111,    26,  1, 104
736264,20151028,    18, -1, 112,    14,  1, 111
736265,20151029,    15, -1, 112,    12,  1, 103
736265,20151029,     1, -1, 112,    20,  1, 101
736265,20151029,    13,  1, 104,     7, -1,  88
736266,20151030,     6,  1, 102,    16, -1,  92
736266,20151030,    21, -1, 139,    22,  1, 136
736266,20151030,    29, -1,  99,    23,  1,  71
736266,20151030,    28, -1, 113,     2,  1, 103
736266,20151030,     9,  1,  98,     5, -1,  94
736266,20151030,     1,  1,  97,     4, -1,  94
736266,20151030,    30, -1, 118,    17,  1, 113
736266,20151030,    27,  1, 102,     3, -1,  75
736266,20151030,    18, -1,  95,     8,  1,  78
736266,20151030,    10, -1, 112,    11,  1,  92
736266,20151030,    26,  1, 132,    14, -1, 114
736266,20151030,    24,  1, 110,    25, -1,  92
736267,20151031,    29, -1,  97,    12,  1,  76
736267,20151031,    20, -1, 117,    30,  1, 110
736267,20151031,    10, -1, 134,    19,  1, 120
736267,20151031,    15,  1, 101,     3, -1,  91
736267,20151031,    24, -1, 101,    25,  1,  90
736267,20151031,    13,  1, 114,    26, -1, 109
736268,20151101,     1, -1,  94,     4,  1,  92
736268,20151101,    27, -1,  95,     2,  1,  87
736268,20151101,    16,  1, 109,    11, -1,  89
736268,20151101,    28,  1, 106,    17, -1,  87
736268,20151101,     5,  1,  92,    22, -1,  87
736268,20151101,    21,  1, 117,     8, -1,  93
736268,20151101,     7, -1, 103,    14,  1,  93
736269,20151102,     6, -1, 107,    23,  1, 100
736269,20151102,    17, -1, 103,     3,  1,  96
736269,20151102,    27, -1,  94,    20,  1,  84
736269,20151102,    11,  1, 110,    21, -1, 105
736269,20151102,    25, -1, 106,    18,  1, 101
736269,20151102,    10,  1, 119,    15, -1,  69
736269,20151102,    13,  1, 102,    24, -1,  96
736270,20151103,     4,  1, 130,     5, -1, 105
736270,20151103,    12, -1,  94,     9,  1,  82
736270,20151103,     1, -1,  98,    16,  1,  92
736270,20151103,    22, -1, 103,    19,  1,  94
736270,20151103,    28, -1, 102,     7,  1,  91
736270,20151103,    15, -1, 103,    26,  1,  89
736270,20151103,     8, -1, 120,    14,  1, 109
736271,20151104,    12,  1, 100,     2, -1,  98
736271,20151104,    30,  1, 102,    27, -1,  99
736271,20151104,     1,  1, 101,     3, -1,  87
736271,20151104,     6,  1,  96,    20, -1,  86
736271,20151104,    11,  1, 119,    22, -1, 114
736271,20151104,    17,  1,  91,    23, -1,  87
736271,20151104,    28, -1, 103,    21,  1,  98
736271,20151104,    24,  1, 118,    26, -1,  97
736271,20151104,    25, -1, 108,    29,  1,  92
736271,20151104,    10,  1, 112,    13, -1, 108
736272,20151105,     5,  1, 104,    21, -1,  98
736272,20151105,    16, -1,  96,    18,  1,  84
736272,20151105,     4, -1, 108,     7,  1,  94
736272,20151105,    29, -1,  96,     8,  1,  84
736272,20151105,    25,  1, 115,    15, -1,  96
736273,20151106,    22,  1,  92,    28, -1,  87
736273,20151106,     2,  1, 118,    30, -1,  98
736273,20151106,     6,  1, 108,    23, -1, 102
736273,20151106,    14, -1, 104,     3,  1,  98
736273,20151106,    17, -1,  99,    20,  1,  92
736273,20151106,     1, -1, 121,    19,  1, 115
736273,20151106,    12,  1,  90,    16, -1,  87
736273,20151106,     9, -1, 100,    24,  1,  92
736273,20151106,    10,  1, 119,     8, -1, 104
736273,20151106,    11, -1, 116,    26,  1, 110
736274,20151107,    18, -1, 102,     5,  1,  93
736274,20151107,    22, -1, 105,    23,  1,  97
736274,20151107,     1,  1, 114,    30, -1,  99
736274,20151107,     7,  1, 107,    19, -1,  98
736274,20151107,    17,  1,  94,     3, -1,  86
736274,20151107,    27,  1, 114,     4, -1,  94
736274,20151107,    29,  1,  89,    15, -1,  79
736274,20151107,    10, -1, 103,    26,  1,  94
736274,20151107,    11, -1, 109,    13,  1, 105
736275,20151108,     6,  1, 101,    12, -1,  97
736275,20151108,    20,  1,  99,    14, -1,  95
736275,20151108,    16,  1,  96,    28, -1,  76
736275,20151108,    21,  1, 124,    24, -1, 103
736275,20151108,     9, -1, 120,    25,  1, 103
736276,20151109,    12,  1,  97,    22, -1,  84
736276,20151109,     5, -1, 111,    23,  1,  88
736276,20151109,    18, -1, 117,     1,  1, 107
736276,20151109,     8,  1, 108,    25, -1, 104
736276,20151109,    27, -1, 106,    26,  1,  88
736276,20151109,    10,  1, 109,     9, -1,  95
736276,20151109,    13,  1,  94,    15, -1,  92
736277,20151110,     6,  1, 118,    29, -1, 114
736277,20151110,    21, -1, 125,    30,  1, 101
736277,20151110,    16,  1, 101,    14, -1,  88
736277,20151110,    20, -1, 111,    28,  1, 109
736277,20151110,    19,  1, 120,     7, -1, 105
736277,20151110,     2, -1,  99,    17,  1,  83
736277,20151110,     4, -1, 104,    18,  1,  95
736278,20151111,    22,  1, 101,    14, -1,  99
736278,20151111,    28, -1, 119,    23,  1, 103
736278,20151111,     4,  1,  95,    20, -1,  93
736278,20151111,    12, -1, 102,     2,  1,  91
736278,20151111,     1,  1, 106,    19, -1,  98
736278,20151111,     7,  1, 118,    13, -1, 108
736278,20151111,     3, -1, 106,    11,  1,  98
736278,20151111,    10, -1, 100,    15,  1,  84
736278,20151111,     8,  1, 103,    17, -1, 102
736278,20151111,    26,  1, 101,     9, -1,  92
736278,20151111,    27, -1, 113,    25,  1, 101
736279,20151112,    16,  1,  92,    29, -1,  91
736279,20151112,    10, -1, 129,    18,  1, 116
736279,20151112,    24,  1, 118,    13, -1, 104
736280,20151113,    12,  1, 107,    18, -1, 103
736280,20151113,    22,  1, 102,    29, -1,  93
736280,20151113,     2,  1, 106,     1, -1,  93
736280,20151113,     6, -1,  90,    20,  1,  84
736280,20151113,    28,  1, 100,    19, -1,  81
736280,20151113,     5,  1, 102,     4, -1,  97
736280,20151113,    21,  1, 102,    23, -1,  85
736280,20151113,    15,  1, 101,    25, -1, 100
736280,20151113,     7,  1,  90,    14, -1,  82
736280,20151113,     8,  1, 107,    11, -1,  98
736280,20151113,    26,  1, 111,     3, -1, 109
736281,20151114,    13,  1, 101,     9, -1,  96
736281,20151114,    30,  1, 108,    22, -1,  99
736281,20151114,     7, -1, 110,    11,  1,  98
736281,20151114,    17,  1, 108,     6, -1, 105
736281,20151114,    27,  1,  92,    23, -1,  83
736281,20151114,    24,  1, 105,     8, -1,  81
736281,20151114,    10,  1, 107,     3, -1,  99
736282,20151115,    20,  1,  95,    19, -1,  87
736282,20151115,    15, -1, 114,    18,  1, 106
736282,20151115,     4,  1, 106,    25, -1,  94
736282,20151115,    29, -1,  97,     1,  1,  96
736282,20151115,     2, -1, 100,    21,  1,  85
736282,20151115,    26,  1, 107,    28, -1, 101
736282,20151115,    14,  1,  97,     9, -1,  85
736283,20151116,     7, -1,  92,    23,  1,  86
736283,20151116,     5,  1,  96,    12, -1,  95
736283,20151116,     2, -1, 111,    11,  1,  95
736283,20151116,    15,  1, 122,    21, -1, 114
736283,20151116,    27,  1,  93,    25, -1,  80
736283,20151116,    24,  1, 120,    14, -1, 101
736284,20151117,    30,  1, 115,    17, -1,  86
736284,20151117,     9,  1, 104,     6, -1,  99
736284,20151117,    18, -1, 103,    16,  1,  91
736284,20151117,     3,  1,  90,     1, -1,  88
736284,20151117,    20,  1, 102,     4, -1,  94
736284,20151117,     8, -1, 115,    19,  1,  98
736284,20151117,    10,  1, 115,    28, -1, 110
736285,20151118,    22,  1, 104,    18, -1, 101
736285,20151118,    12, -1, 112,    23,  1,  85
736285,20151118,     4,  1, 116,     3, -1, 111
736285,20151118,     7, -1, 106,     2,  1, 102
736285,20151118,     1,  1, 103,    26, -1,  97
736285,20151118,    11,  1, 108,    25, -1, 103
736285,20151118,    21,  1, 110,    19, -1, 103
736285,20151118,    27,  1, 109,     8, -1,  98
736285,20151118,    29,  1,  93,    28, -1,  89
736285,20151118,     5, -1, 103,    24,  1,  97
736286,20151119,    16,  1, 116,    26, -1, 109
736286,20151119,     6,  1, 115,    17, -1, 100
736286,20151119,    10, -1, 124,    13,  1, 117
736287,20151120,     4,  1, 113,    23, -1,  88
736287,20151120,     2,  1, 120,     3, -1,  95
736287,20151120,    19,  1, 104,    27, -1,  90
736287,20151120,     9, -1,  96,    18,  1,  86
736287,20151120,    20, -1,  93,    21,  1,  90
736287,20151120,    15,  1,  96,    11, -1,  84
736287,20151120,     7,  1, 102,    29, -1,  93
736287,20151120,    24, -1, 114,     8,  1, 107
736287,20151120,    25,  1, 102,    13, -1,  91
736287,20151120,    10,  1, 106,     5, -1,  94
736287,20151120,    28, -1, 102,    14,  1,  91
736288,20151121,    26, -1,  97,    22,  1,  91
736288,20151121,    12,  1, 123,    17, -1,  86
736288,20151121,     6,  1, 109,     1, -1,  97
736288,20151121,    30, -1,  97,     9,  1,  95
736288,20151121,    20, -1, 107,    11,  1, 102
736288,20151121,    16,  1,  96,    23, -1,  91
736288,20151121,    27,  1,  92,    15, -1,  82
736289,20151122,    28, -1,  91,    13,  1,  80
736289,20151122,    19,  1, 122,    24, -1, 116
