30 1002
20151027 9 106 1 94
20151027 5 97 6 95
20151027 10 111 19 95
20151028 30 88 22 87
20151028 2 112 23 95
20151028 9 92 29 87
20151028 16 104 4 94
20151028 5 115 3 100
20151028 28 106 12 99
20151028 8 105 11 85
20151028 20 122 17 97
20151028 21 112 27 106
20151028 6 106 15 76
20151028 7 111 24 95
20151028 25 112 19 94
20151028 13 111 26 104
20151028 18 112 14 111
20151029 15 112 12 103
20151029 1 112 20 101
20151029 13 104 7 88
20151030 6 102 16 92
20151030 21 139 22 136
20151030 29 99 23 71
20151030 28 113 2 103
20151030 9 98 5 94
20151030 1 97 4 94
20151030 30 118 17 113
20151030 27 102 3 75
20151030 18 95 8 78
20151030 10 112 11 92
20151030 26 132 14 114
20151030 24 110 25 92
20151031 29 97 12 76
20151031 20 117 30 110
20151031 10 134 19 120
20151031 15 101 3 91
20151031 24 101 25 90
20151031 13 114 26 109
20151101 1 94 4 92
20151101 27 95 2 87
20151101 16 109 11 89
20151101 28 106 17 87
20151101 5 92 22 87
20151101 21 117 8 93
20151101 7 103 14 93
20151102 6 107 23 100
20151102 17 103 3 96
20151102 27 94 20 84
20151102 11 110 21 105
20151102 25 106 18 101
20151102 10 119 15 69
20151102 13 102 24 96
20151103 4 130 5 105
20151103 12 94 9 82
20151103 1 98 16 92
20151103 22 103 19 94
20151103 28 102 7 91
20151103 15 103 26 89
20151103 8 120 14 109
20151104 12 100 2 98
20151104 30 102 27 99
20151104 1 101 3 87
20151104 6 96 20 86
20151104 11 119 22 114
20151104 17 91 23 87
20151104 28 103 21 98
20151104 24 118 26 97
20151104 25 108 29 92
20151104 10 112 13 108
20151105 5 104 21 98
20151105 16 96 18 84
20151105 4 108 7 94
20151105 29 96 8 84
20151105 25 115 15 96
20151106 22 92 28 87
20151106 2 118 30 98
20151106 6 108 23 102
20151106 14 104 3 98
20151106 17 99 20 92
20151106 1 121 19 115
20151106 12 90 16 87
20151106 9 100 24 92
20151106 10 119 8 104
20151106 11 116 26 110
20151107 18 102 5 93
20151107 22 105 23 97
20151107 1 114 30 99
20151107 7 107 19 98
20151107 17 94 3 86
20151107 27 114 4 94
20151107 29 89 15 79
20151107 10 103 26 94
20151107 11 109 13 105
20151108 6 101 12 97
20151108 20 99 14 95
20151108 16 96 28 76
20151108 21 124 24 103
20151108 9 120 25 103
20151109 12 97 22 84
20151109 5 111 23 88
20151109 18 117 1 107
20151109 8 108 25 104
20151109 27 106 26 88
20151109 10 109 9 95
20151109 13 94 15 92
20151110 6 118 29 114
20151110 21 125 30 101
20151110 16 101 14 88
20151110 20 111 28 109
20151110 19 120 7 105
20151110 2 99 17 83
20151110 4 104 18 95
20151111 22 101 14 99
20151111 28 119 23 103
20151111 4 95 20 93
20151111 12 102 2 91
20151111 1 106 19 98
20151111 7 118 13 108
20151111 3 106 11 98
20151111 10 100 15 84
20151111 8 103 17 102
20151111 26 101 9 92
20151111 27 113 25 101
20151112 16 92 29 91
20151112 10 129 18 116
20151112 24 118 13 104
20151113 12 107 18 103
20151113 22 102 29 93
20151113 2 106 1 93
20151113 6 90 20 84
20151113 28 100 19 81
20151113 5 102 4 97
20151113 21 102 23 85
20151113 15 101 25 100
20151113 7 90 14 82
20151113 8 107 11 98
20151113 26 111 3 109
20151114 13 101 9 96
20151114 30 108 22 99
20151114 7 110 11 98
20151114 17 108 6 105
20151114 27 92 23 83
20151114 24 105 8 81
20151114 10 107 3 99
20151115 20 95 19 87
20151115 15 114 18 106
20151115 4 106 25 94
20151115 29 97 1 96
20151115 2 100 21 85
20151115 26 107 28 101
20151115 14 97 9 85
20151116 7 92 23 86
20151116 5 96 12 95
20151116 2 111 11 95
20151116 15 122 21 114
20151116 27 93 25 80
20151116 24 120 14 101
20151117 30 115 17 86
20151117 9 104 6 99
20151117 18 103 16 91
20151117 3 90 1 88
20151117 20 102 4 94
20151117 8 115 19 98
20151117 10 115 28 110
20151118 22 104 18 101
20151118 12 112 23 85
20151118 4 116 3 111
20151118 7 106 2 102
20151118 1 103 26 97
20151118 11 108 25 103
20151118 21 110 19 103
20151118 27 109 8 98
20151118 29 93 28 89
20151118 5 103 24 97
20151119 16 116 26 109
20151119 6 115 17 100
20151119 10 124 13 117
20151120 4 113 23 88
20151120 2 120 3 95
20151120 19 104 27 90
20151120 9 96 18 86
20151120 20 93 21 90
20151120 15 96 11 84
20151120 7 102 29 93
20151120 24 114 8 107
20151120 25 102 13 91
20151120 10 106 5 94
20151120 28 102 14 91
20151121 26 97 22 91
20151121 12 123 17 86
20151121 6 109 1 97
20151121 30 97 9 95
20151121 20 107 11 102
20151121 16 96 23 91
20151121 27 92 15 82
20151122 28 91 13 80
20151122 19 122 24 116
20151122 3 111 2 101
20151122 21 117 7 114
20151122 10 118 8 105
20151122 25 107 14 93
20151123 6 117 22 103
20151123 4 127 26 122
20151123 16 95 20 78
20151123 17 109 9 88
20151123 18 100 23 95
20151123 27 98 24 84
20151123 21 111 29 89
20151124 12 123 30 106
20151124 1 121 2 97
20151124 15 110 7 96
20151124 13 111 8 94
20151124 5 93 25 88
20151124 10 111 14 77
20151125 22 100 20 91
20151125 4 101 30 87
20151125 2 84 23 80
